Title,Abstract,Authors,DOI,DOI link,Venue,Citation count,Year,Beyond Single-Metal Solutions,"Reasoning for ""Beyond Single-Metal Solutions""",Experimental Study with Clear Methodology,"Reasoning for ""Experimental Study with Clear Methodology""",Experimental Validation,"Reasoning for ""Experimental Validation""",Industrial Wastewater Treatment Medium,"Reasoning for ""Industrial Wastewater Treatment Medium""",Microalgae Species Identification,"Reasoning for ""Microalgae Species Identification""",Microalgae-Based Biosorption Focus,"Reasoning for ""Microalgae-Based Biosorption Focus""",Primary Focus on Microalgae,"Reasoning for ""Primary Focus on Microalgae""",Quantitative Metal Removal Measurement,"Reasoning for ""Quantitative Metal Removal Measurement""",Screening judgement,"Reasoning for ""Screening judgement""",Screening score
Recent advancements in wastewater treatment via anaerobic fermentation process: A systematic review.,"This manuscript delves into the realm of wastewater treatment, with a particular emphasis on anaerobic fermentation processes, especially dark, photo, and dark-photo fermentation processes, which have not been covered and overviewed previously in the literature regarding the treatment of wastewater. Moreover, the study conducts a bibliometric analysis for the first time to elucidate the research landscape of anaerobic fermentation utilization in wastewater purification. Furthermore, microorganisms, ranging from microalgae to bacteria and fungi, emphasizing the integration of these agents for enhanced efficiency, are all discussed and compared. Various bioreactors, such as dark and photo fermentation bioreactors, including tubular photo bioreactors, are scrutinized for their design and operational intricacies. The results illustrated that using clostridium pasteurianum CH4 and Rhodopseudomonas palustris WP3-5 in a combined dark-photo fermentation process can treat wastewater to a pH of nearly 7 with over 90% COD removal. Also, integrating Chlorella sp and Activated sludge can potentially treat synthetic wastewater to COD, P, and N percentage removal rates of 99%,86%, and 79%, respectively. Finally, the paper extends to discuss the limitations and future prospects of dark-photo fermentation processes, offering insights into the road ahead for researchers and scientists.
Copyright © 2024 Elsevier Ltd. All rights reserved.","Rahma M. Elsayad, S. Sharshir, Ahmed Khalil, Ali M. Basha",10.1016/j.jenvman.2024.121724,https://doi.org/10.1016/j.jenvman.2024.121724,Journal of Environmental Management,11,2024,no,"The study does not appear to focus on metal removal at all, instead focusing on COD, P, and N removal.",no,"While the paper discusses experimental results, it appears to be primarily a review/overview paper with bibliometric analysis. The methodology described is more about the review process than experimental procedures.",no,"While some experimental results are presented, this appears to be a review paper synthesizing existing research rather than presenting new experimental data.",no,The study mentions synthetic wastewater rather than actual industrial wastewater.,yes,The paper does identify Chlorella sp as the microalgae species used.,no,"While microalgae (Chlorella sp) is mentioned, it's not specifically used for metal biosorption. Instead, it's used in combination with activated sludge for general wastewater treatment.",no,"Microalgae is not the primary focus. The paper discusses multiple microorganisms (bacteria, fungi, and microalgae) and emphasizes anaerobic fermentation processes.",no,"The abstract does not mention any metal removal measurements. While it discusses COD, P, and N removal, there is no indication of metal removal efficiency or biosorption capacity.",Exclude,"The manuscript primarily focuses on anaerobic fermentation processes for wastewater treatment, utilizing multiple microorganisms and synthetic wastewater, which diverges significantly from the specified screening criteria for microalgae-based metal biosorption. Despite identifying a microalgae species, the study lacks quantitative metal removal measurements, experimental validation of metal biosorption, and does not concentrate on microalgae as the primary biosorbent. Consequently, the paper fails to meet most of the critical screening requirements for the intended research focus.",1.4
Poly-Xaa Sequences in Proteins - Biological Role and Interactions with Metal Ions: Chemical and Medical Aspects.,"BACKGROUND
The understanding of the bioinorganic and coordination chemistry of metalloproteins containing unusual poly-Xaa sequences, in which a single amino acid is repeated consecutively, is crucial for describing their metal binding-structure-function relationship, and therefore also crucial for understanding their medicinal potential. To the best of our knowledge, this is the first systematic review on metal complexes with polyXaa sequences.
METHODS
We performed a thorough search of high quality peer reviewed literature on poly-Xaa type of sequences in proteins, focusing on their biological importance and on their interactions with metal ions.
RESULTS
228 papers were included in the review. More than 70% of them discussed the role of metal complexes with the studied types of sequences. In this work, we showed numerous medically important and chemically fascinating examples of possible 'poly-Xaa' metal binding sequences.
CONCLUSION
Poly-Xaa sequences, in which a single amino acid is repeated consecutively, are often not only tempting binding sites for metal ions, but very often, together with the bound metal, serve as structure determinants for entire proteins. This, in turn, can have consequences for the whole organism. Such sequences in bacterial metal chaperones can be a possible target for novel, antimicrobial therapeutics.","J. Wątły, A. Hecel, Paulina Kołkowska, H. Kozłowski, M. Rowińska-Żyrek",10.2174/0929867324666170428104928,https://doi.org/10.2174/0929867324666170428104928,Current Medicinal Chemistry,4,2017,no,"While the paper discusses metal-protein interactions, it's not in the context of biosorption or wastewater treatment.",no,"This is a systematic review paper, not an experimental study, and while it has a methodology for the review, it doesn't present original experimental work.",no,"This is a review paper without original experimental data, and no experimental validation is presented.",no,"There is no discussion of wastewater treatment, as the focus is on the biological and chemical aspects of metal-protein interactions.",no,No microalgae species are mentioned or studied in the paper.,no,"The paper focuses on metal-protein interactions in general, with no mention of microalgae or biosorption processes.",no,"The primary focus is on metal-protein interactions in general, with no focus on microalgae.",no,"The paper does not report any quantitative measurements of metal removal, as it is a review of metal-protein interactions rather than a study of removal processes.",Exclude,"This systematic review on metal-protein interactions fails to meet any of the specified screening criteria for microalgae-based biosorption studies. The paper focuses on biological and chemical aspects of metal-protein interactions, with no connection to wastewater treatment, microalgae species, or experimental metal removal processes. Consequently, the manuscript does not align with the required research parameters for inclusion in the systematic review.",0.1
A systematic review on options for sustainable treatment and resource recovery of distillery sludge.,"Distillery sludge generated from the alcohol production plants is considered as a nuisance. It is one of the main sources of environmental pollution because of the presence of high amount of sulphate, phenolic compounds (500.3 ± 26.46 mg/kg), melanoidins, organic matter (14%) and heavy metals (like 18% Mn, 6% Ni and 4% Pb). Hence, advancement in the available techniques for managing this sludge is a prerequisite for its safe and sustainable disposal. The article delivers an assessment of the challenges involved in the treatment of distillery sludge, existing practices, disposal and possible routes for energy recovery. Considering the high nutritional and energy values of the distillery sludge, the associated limitations and challenges of the available sludge management options, it was aimed to highlight alternative methods of its treatment. The present review also compares the current distillery sludge management solutions concerning their environmental sustainability. The most widely used methods, including treatment and disposal techniques considering the current legislation in different countries, have also been dealt with. Furthermore, the study also deals with the resource recovery approaches in order to recover value-added products and available nutrients from distillery sludge. Resource and energy recovery options are therefore considered as sustainable solutions to fulfill the present and future energy requirement and visualize it as a potential opportunity instead of a nuisance.
Copyright © 2020 Elsevier Ltd. All rights reserved.","L. Dhote, Sunil Kumar, Lal Singh, Rakesh Kumar",10.1016/j.chemosphere.2020.128225,https://doi.org/10.1016/j.chemosphere.2020.128225,Chemosphere,12,2021,no,"While the paper discusses multiple metals in distillery sludge, it's not in the context of biosorption testing.",no,"This appears to be a review paper (""The article delivers an assessment"") rather than an experimental study. No experimental methodology is described.",no,"As a review paper, it does not present original experimental data or validation.",no,"While the paper discusses industrial waste (distillery sludge), it's not in the context of metal removal using microalgae.",no,No microalgae species are mentioned or identified.,no,The paper focuses on distillery sludge treatment and does not mention microalgae or biosorption processes at all.,no,"The paper's primary focus is on distillery sludge management, not microalgae.",no,"The abstract mentions metal content (18% Mn, 6% Ni, 4% Pb) but does not discuss removal efficiency or biosorption capacity measurements.",Exclude,"The paper is a review of distillery sludge management that does not address microalgae-based biosorption or metal removal processes. None of the specified screening criteria related to experimental metal removal, microalgae species, or biosorption methodology are met by this study. The research focuses on waste treatment strategies and resource recovery from industrial sludge, falling outside the targeted research parameters.",0.1
Interaction of Microplastics and Heavy Metals on Aquatic Organisms : A Review,"Microplastics, which originate from a variety of sources and are widespread in aquatic ecosystems, have a significant capacity to adsorb heavy metals through a variety of physicochemical mechanisms, including electrostatic interactions, complex formation, ion exchange, and surface precipitation. A systematic review was used in this study of 50 published articles on the interactions of microplastics and heavy metals on aquatic organisms. The characteristics of microplastics (size, shape, type of polymer) and environmental conditions (pH, salinity, dissolved organic matter) greatly influence the adsorption efficiency and behavior of microplastics in the aquatic environment. Once inside the organism through direct consumption, gills, cuticle penetration, or cellular translocation, microplastics can release adsorbed heavy metals, creating effects that increase the bioavailability and toxicity of the metal. Biological responses that occur include oxidative stress, DNA damage, disruption of the antioxidant defense system, histopathological changes in tissues and organs, growth and reproductive disorders, and behavioral changes. At the population and ecosystem level, microplastic-heavy metal interactions can lead to shifts in community composition, disruption of food webs, changes in biogeochemical cycles, and degradation of ecosystem services.","Adinda Kurnia Putri, Yenni Arista Cipta Ekalaturrahmah, Ahmad Ahmad, Moh Soheh",10.31102/eam.2.1.15-33,https://doi.org/10.31102/eam.2.1.15-33,Environmental and Agriculture Management,0,2025,no,"While the paper discusses multiple metals, it's in the context of microplastic interactions rather than biosorption studies.",no,"This is a systematic review of 50 published articles, not an experimental study. It does not present original experimental methodology.",no,"As a review paper, it does not present original experimental data or validation.",no,The paper discusses aquatic ecosystems broadly but does not specifically address industrial wastewater treatment.,no,No microalgae species are mentioned or studied in this paper.,no,"The paper focuses on microplastics as the adsorbent material, not microalgae. This is a critical mismatch with the screening criteria.",no,"The primary focus is on microplastics, not microalgae. This is another critical mismatch.",no,"The paper does not report specific quantitative measurements of metal removal. While it discusses metal adsorption by microplastics, it's a review of biological effects rather than a study measuring removal efficiency.",Exclude,"The systematic review focuses on microplastic-metal interactions in aquatic ecosystems, fundamentally diverging from the screening criteria targeting microalgae-based biosorption studies. Critical misalignments include the absence of microalgae species, lack of experimental methodology, and no quantitative metal removal measurements. The paper's core subject matter represents a complete mismatch with the specified research parameters.",0.1
Micropollutant Removal Efficiency of Advanced Wastewater Treatment Plants: A Systematic Review,"Introduction: Various review papers have been published regarding the occurrence and fate of micropollutants (MPs). MPs in the aquatic environment are still not well reviewed to generate comprehensive summaries with a special focus on their removal from wastewater using conventional and advanced treatment processes. Therefore, this review aimed to provide a synopsis of the efficiency of the advanced wastewater treatment plants in the removal of MPs. Materials and methods: A systematic search of published literature was conducted on the National Library of Medicine (NLM) database, Web of Science, Joanna Briggs Institute (JBI) database, Scopus, and Google Scholar, based on studies with evidence of removal of MPs in the wastewater treatment process. Screening of the published articles was made using pre-specified inclusion and exclusion criteria. Results: Amongst the 1545 studies searched, 21 full-length articles were analyzed that showed 7 treatment options related to the removal of MPs from wastewater. MPs from wastewater effluents were successfully and effectively removed by advanced treatment techniques. Advanced Oxidation Processes (AOPs), membrane processes, and adsorption processes have all been shown to be potential solutions for the removal of MPs in advanced treatment plants (WWTPs). But, there are 2 critical issues associated with the application of the advanced treatment options which are high operational cost and the formation of dangerous by-products and concentrated residues. Conclusion: This study identified that the removal of MPs using WWTPs was commonly incomplete with varying removal efficiency. Therefore, the adaptation and scale-up of the cost-effective and efficient combined wastewater treatment technology are vital to creating an absolute barrier to MPs emissions.","Biniam Belete, Belay Desye, A. Ambelu, Chalachew Yenew",10.1177/11786302231195158,https://doi.org/10.1177/11786302231195158,Environmental Health Insights,14,2023,no,"While the paper discusses complex wastewater treatment, it's not specifically focused on metal removal or multi-metal solutions.",no,This is a review paper that analyzes other studies rather than presenting original experimental work. It does not contain its own experimental methodology.,no,"As a review paper, it does not contain original experimental data or validation. It synthesizes findings from other studies.",no,"While the paper discusses wastewater treatment, it's in the context of reviewing various treatment processes rather than conducting experiments with industrial wastewater.",no,No microalgae species are mentioned or identified in this paper.,no,"The paper does not mention microalgae or biosorption processes at all. It focuses on general wastewater treatment processes including AOPs, membrane processes, and adsorption.",no,The paper does not focus on microalgae at all. Its primary focus is on reviewing various wastewater treatment technologies for micropollutant removal.,no,"The paper does not specifically focus on metal removal measurements. While it discusses micropollutant removal, it's a review paper that doesn't present specific quantitative measurements for metal removal.",Exclude,"This review paper on micropollutant removal in wastewater treatment fundamentally lacks alignment with the specified screening criteria, particularly those related to microalgae-based biosorption and metal removal. The study does not present experimental data, microalgae species identification, or quantitative metal removal measurements, rendering it unsuitable for the systematic review's requirements. Its broad focus on general wastewater treatment technologies diverges significantly from the targeted research parameters.",0.1
New Insights on Biosynthesis of Nanoparticles Using Plants Emphasizing the Use of Alfalfa (Medicago sativa L.),"Biological synthesis of nanoparticles (NPs) using alfalfa (Medicago sativa L.) and other plants has several advantages such as lower costs, reduction of pollution, and improvement of the environment and human health. Often, biosynthesis is used to synthesize Ag, Au, and ZnO NPs. Less often are also synthesized Cu and Fe NPs. Synthesis with plant extracts from their parts or callus cultures is a widely used method since extracts contain the most significant number of biomolecules. Synthesis with living plants (in vivo) provides NPs with improved properties for better interactions with plants but is used less often due to the long realization time, the need to control the plants’ growing conditions, and difficulty in controlling the size and shape of the synthesized NPs. Here, we performed a systematic review of various methods for the biological synthesis of different metal NPs with different plants, to highlight advantages and disadvantages of mentioned methods. For discussion, results showed that biosynthesis of NPs allows obtaining NPs with reduced toxicity, and their size and shape depend on the type and number of biomolecules present in plants. Plant biomolecules determine the antibacterial and anticancer properties of NPs, as well as increasing the use of NPs in biomedicine, for better drug transport, therefore medicinal plants or sea plants are mostly used for biosynthesis. NPs which were synthesized in marine plants could be a very effective agent against water bacteria; therefore, if NP biosynthesis takes place in water, biological water purification is possible. Limitations of the study included a great methodological diversity of the synthesis, it is still difficult to systematize the synthesis methods, and it seems that each described study uses a different synthesis protocol; therefore, in future studies, it is necessary to clarify which method can provide the most efficient biosynthesis and develop a unified approach.","I. Kokina, I. Plaksenkova, Lauris Jankovskis, Marija Jermaļonoka, R. Galek",10.1155/2024/9721166,https://doi.org/10.1155/2024/9721166,Journal of Nanotechnology,6,2024,no,"The paper discusses various metals (Ag, Au, ZnO, Cu, Fe) but in the context of nanoparticle synthesis, not biosorption from complex solutions.",no,"While the paper discusses various synthesis methods, it is actually a systematic review of other studies rather than an experimental study itself.",no,"As a systematic review, this paper does not present original experimental data or validation.",no,"The paper does not discuss industrial wastewater treatment. While it briefly mentions water purification, this is not in the context of industrial wastewater treatment.",no,No microalgae species are identified or used in this study.,no,"The paper focuses on plant-based nanoparticle synthesis, not microalgae-based biosorption. It specifically mentions alfalfa and other plants, but not microalgae.",no,"The primary focus is on higher plants (alfalfa and other plants) for nanoparticle synthesis, not microalgae.",no,The paper does not report any quantitative measurements of metal removal. It focuses on nanoparticle synthesis rather than metal removal processes.,Exclude,"The systematic review focuses on plant-based nanoparticle synthesis, which fundamentally differs from microalgae-based metal biosorption from industrial wastewater. None of the specified screening criteria are met, as the study does not involve microalgae, industrial wastewater treatment, or quantitative metal removal measurements. The paper's methodology and research objectives are entirely misaligned with the systematic review's requirements.",0.1
Validation of Reference Genes for RT-qPCR in Marine Bivalve Ecotoxicology: Systematic Review and Case Study,"Reverse transcription real-time quantitative PCR (RT-qPCR) is the predominant method of choice for the quantification of mRNA transcripts of a selected gene of interest. Here reference genes are commonly used to normalize non-biological variation in mRNA levels and their appropriate selection is therefore essential for the accurate interpretation the collected data. In recent years the use of multiple validated references genes has been shown to substantially increase the robustness of the normalization. It is therefore considered good practice to experimentally validate putative reference genes under specific experimental conditions, determine the optimal number of reference genes to be employed, and report the method or methods used. Under this premise, we assessed the current state of reference gene base normalization in RT-qPCR bivalve ecotoxicology studies (post 2011), employing a systematic quantitative literature review. A total of 52 papers published met our criteria and were analysed for the gene or genes used, whether they employed multiple reference genes, as well as the validation method employed. In addition we performed a case study using primary hemocytes from the marine bivalve Ruditapes philippinarum after in vitro copper exposure. Herein we further critically discuss methods for reference gene validation, including the established algorithms geNorm, NormFinder and BestKeeper, as well as the popular online tool RefFinder. We identified that RT-qPCR normalization in bivalve ecotoxicology studies is largely performed using single reference genes, while less than 40% of the studies attempted to experimentally validate the expression stability of the reference genes used. 18s rRNA and β-Actin were the most popular genes, yet their un-validated use did introduce artefactual variance that altered the interpretation of the resulting data, while the use of appropriately validated reference genes did substantially improve normalization. Our findings further suggest that combining the results from multiple individual algorithms and calculating the overall best-ranked gene, as e.g. computed by the RefFinder tool, does not by default lead to the identification of the most suitable reference gene or combination of reference genes.","M. Volland, J. Blasco, M. Hampel",10.1101/074542,https://doi.org/10.1101/074542,bioRxiv,23,2016,no,"The study only mentions copper exposure in the context of gene expression, not metal removal from complex solutions.",no,"While the paper is an experimental study, it focuses on RT-qPCR methodology and reference gene validation, not metal removal processes.",no,"While the study includes experimental validation, it's for RT-qPCR methodology, not metal removal processes.",no,The study does not use industrial wastewater. It appears to use controlled laboratory conditions for gene expression studies.,no,No microalgae species are mentioned or studied in this paper.,no,The study does not investigate microalgae biosorption. It focuses on bivalve ecotoxicology and gene expression analysis.,no,"The primary focus is on bivalves (specifically Ruditapes philippinarum), not microalgae.",no,"The paper does not report any quantitative measurements of metal removal, such as removal efficiency, biosorption capacity, or concentration reduction.",Exclude,"The study is a methodological paper on RT-qPCR reference gene validation in bivalve ecotoxicology, which does not address any of the specified screening criteria related to microalgae-based metal removal. No aspects of the research align with the required focus on microalgae biosorption, industrial wastewater treatment, or quantitative metal removal measurements. The paper is fundamentally misaligned with the systematic review's research objectives.",0.1
Biochemical testing for the diagnosis of Wilson's disease: A systematic review,"Wilson's disease (WD) is a rare inherited disorder that leads to copper accumulation in the liver, brain, and other organs. WD is prevalent worldwide, with an occurrence of 1 per 30,000 live births. Currently, there is no gold standard diagnostic test for WD. The objective of this systematic review is to determine the diagnostic accuracy for WD of three biochemical tests, namely hepatic copper, 24‐hour urinary copper, and ceruloplasmin using the Leipzig criteria.","H. M. Salman, Mahwish Amin, Javaria Syed, Z. Sarfraz, Azza Sarfraz, Muzna Sarfraz, M. J. Farfán Bajaña, M. Félix, I. Cherrez-Ojeda",10.1002/jcla.24191,https://doi.org/10.1002/jcla.24191,Journal of clinical laboratory analysis (Print),9,2021,no,"While copper is discussed, it is in the context of disease diagnosis, not biosorption.",no,"This is a systematic review of diagnostic tests, not an experimental study. It does not provide sufficient methodological detail for quality assessment and reproducibility.",no,"While the paper likely includes experimental data, it is in the context of diagnostic testing, not biosorption.",no,"There is no discussion of wastewater treatment, as the focus is on human biological samples.",no,There is no mention of microalgae species.,no,"The paper focuses on Wilson's disease and copper accumulation in human organs, with no mention of microalgae or biosorption processes.",no,"The primary focus is on human disease and diagnostic tests, with no mention of microalgae.",no,"The paper discusses copper measurements but in the context of disease diagnosis, not removal efficiency or biosorption capacity. It does not report quantitative, measurable outcomes such as removal efficiency (%), biosorption capacity (mg/g), or concentration reduction for metal removal.",Exclude,"The systematic review on Wilson's disease diagnostic tests fundamentally lacks alignment with the specified screening criteria related to microalgae-based biosorption and industrial wastewater treatment. No aspects of the abstract address microalgae species, experimental biosorption methodology, or metal removal processes in industrial contexts. The paper is entirely focused on human disease diagnostics and copper accumulation in organs, rendering it non-compliant with all eight screening requirements.",0.1
Algae-Derived Anti-Inflammatory Compounds against Particulate Matters-Induced Respiratory Diseases: A Systematic Review,"Air pollution has recently become a subject of increasing concern in many parts of the world. The World Health Organization (WHO) estimated that nearly 4.2 million early deaths are due to exposure to fine particles in polluted air, which causes multiple respiratory diseases. Algae, as a natural product, can be an alternative treatment due to potential biofunctional properties and advantages. This systematic review aims to summarize and evaluate the evidence of metabolites derived from algae as potential anti-inflammatory agents against respiratory disorders induced by atmospheric particulate matter (PM). Databases such as Scopus, Web of Science, and PubMed were systematically searched for relevant published full articles from 2016 to 2020. The main key search terms were limited to “algae”, “anti-inflammation”, and “air pollutant”. The search activity resulted in the retrieval of a total of 36 publications. Nine publications are eligible for inclusion in this systematic review. A total of four brown algae (Ecklonia cava, Ishige okamurae, Sargassum binderi and Sargassum horneri) with phytosterol, polysaccharides and polyphenols were reported in the nine studies. The review sheds light on the pathways of particulate matter travelling into respiratory systems and causing inflammation, and on the mechanisms of actions of algae in inhibiting inflammation. Limitations and future directions are also discussed. More research is needed to investigate the potential of algae as anti-inflammatory agents against PM in in vivo and in vitro experimental models, as well as clinically.","Pek Xyen Tan, Krishnapriya Thiyagarasaiyar, C. Tan, Y. Jeon, M. Nadzir, Yong-Jiang Wu, L. Low, A. Atanasov, L. Ming, K. Liew, B. Goh, Yoon-Yen Yow",10.3390/md19060317,https://doi.org/10.3390/md19060317,Marine Drugs,9,2021,no,"The paper does not discuss metal solutions or biosorption. Its focus is entirely different, on the anti-inflammatory properties of algae.",no,"This is a systematic review paper, not an experimental study. While it reviews experimental studies, it is not presenting original experimental work.",no,"As a systematic review, the paper analyzes other studies but does not present new experimental data. It is not relevant to the biosorption focus.",no,There is no discussion of wastewater treatment in the paper. The focus is on air pollution and respiratory health.,no,"While the paper identifies species of brown algae (Ecklonia cava, Ishige okamurae, etc.), these are macroalgae, not microalgae.",no,"The paper focuses on brown algae (macroalgae) for anti-inflammatory properties, not on biosorption processes or metal removal using microalgae.",no,"The focus of the paper is on macroalgae, not microalgae, which is the wrong type of organism for the screening criteria.",no,"The paper does not discuss metal removal or any quantitative measurements related to metal biosorption. Instead, it focuses on the anti-inflammatory properties of algae metabolites.",Exclude,"The systematic review focuses on brown algae's anti-inflammatory properties against air pollution, completely diverging from the specified screening criteria related to microalgae-based metal biosorption. No aspects of the paper align with the required elements of quantitative metal removal, experimental methodology, microalgae species, or industrial wastewater treatment. The study fundamentally addresses a different research domain, rendering it non-compliant with all screening requirements.",0.1
Methods to protein and peptide extraction from microalgae: a systematic review.,"Currently, there is a demand for protein sources that do not use soil management or animal breeding. Among these sources we highlight the microorganisms, such cyanobacteria and microalgae, which have a simple growth using light, CO2, water and some mineral salts to generate high protein production. The extraction of these proteins depends on the method used. The most used methods for extracting bio-functional proteins are mechanical, chemical and enzymatic. The aim of this work is to analyze the protein extraction methods in microalgae using Scielo, ScienceDirect and NCBI (PubMed) electronic databases that made it possible to select original studies published in the last five years (2018-2023). A total of 2707 articles, 25 of which were selected for further analysis and subjected to risk of bias assessment. The genera Chlorella, Scenedesmus and Nannochloropsis were the most studied due to their high protein content. Mechanical methods and chemical hydrolysis are the most used methods, achieving an extraction yield of 46.0 % and 64.0 %, respectively. The best extraction results are obtained with a combination of methods, reaching up to 80.0 % yield. However, some aspects need to be observed to choose an ideal protein extraction method.","Ariadne Tennyle V DE Souza, K. P. S. Souza, Andreza P DE Amorim, R. Bezerra, A. L. F. Porto",10.1590/0001-3765202420240113,https://doi.org/10.1590/0001-3765202420240113,Anais da Academia Brasileira de Ciências,1,2024,no,The paper does not address metal solutions at all.,no,"While the paper reviews experimental studies, it is not an experimental study itself. It does not present original experimental work with sufficient methodological detail for quality assessment and reproducibility.",no,"While the paper reviews experimental studies, it is not an experimental study itself and does not present new experimental validation data.",no,"The paper does not involve any wastewater treatment. It focuses on protein extraction methods using standard cultivation conditions, not industrial wastewater or synthetic wastewater that simulates industrial conditions.",yes,"The paper does mention specific microalgae genera (Chlorella, Scenedesmus, and Nannochloropsis), but this is in the context of protein content, not biosorption.",no,"The paper focuses on protein extraction from microalgae, not on the biosorption of metals. The application is completely different from the target criteria.",no,"While microalgae are the primary focus, it's for protein extraction rather than metal biosorption.",no,"The paper does not report any quantitative measurements related to metal removal, such as removal efficiency, biosorption capacity, or concentration reduction. Instead, it focuses on protein extraction methods and yields from microalgae.",Exclude,"The systematic review criteria for microalgae-based metal biosorption are not met by this paper, which focuses exclusively on protein extraction methods from microalgae. Despite mentioning microalgae species, the study lacks any experimental validation of metal removal, industrial wastewater treatment, or biosorption processes. The research fundamentally addresses a different scientific objective unrelated to the specified screening requirements.",0.1
Mechanism of escape from the antibacterial activity of metal-based nanoparticles in clinically relevant bacteria: A systematic review.,"The emergency of antibiotic-resistant bacteria in severe infections is increasing, especially in nosocomial environments. The ESKAPE group is of special importance in the groups of multi-resistant bacteria due to its high capacity to generate resistance to antibiotics and bactericides. Therefore, metal-based nanomaterials are an attractive alternative to combat them because they have been demonstrated to damage biomolecules in the bacterial cells. However, there is a concern about bacteria developing resistance to NPs and their harmful effects due to environmental accumulation. Therefore, this systematic review aims to report the clinically relevant bacteria that have developed resistance to the NPs. According to the results of this systematic review, various mechanisms to counteract the antimicrobial activity of various NP types have been proposed. These mechanisms can be grouped into the following categories: production of extracellular compounds, metal efflux pumps, ROS response, genetic changes, DNA repair, adaptative morphogenesis, and changes in the plasma membrane.
Copyright © 2023 Elsevier Inc. All rights reserved.","M. Salas-Orozco, A. C. Lorenzo-Leal, Idania De Alba Montero, Nuria Patiño Marín, Miguel Angel Casillas Santana, Horacio Bach",10.1016/j.nano.2023.102715,https://doi.org/10.1016/j.nano.2023.102715,"Nanomedicine : nanotechnology, biology, and medicine",27,2023,no,"While multiple metals are mentioned, they are in the context of nanoparticles, not related to biosorption or wastewater treatment.",no,"This is a systematic review paper, not an experimental study, and no experimental methodology is described.",no,"As a systematic review, the paper does not present original experimental data and instead reviews existing literature rather than conducting experiments.",no,"There is no discussion of wastewater treatment, and the focus is on medical/clinical applications.",no,"No microalgae species are mentioned or studied, and the paper focuses on bacteria (ESKAPE group).",no,The paper focuses on bacterial resistance to metal nanoparticles and does not mention microalgae or biosorption processes.,no,"The primary focus is on bacteria and their resistance to metal nanoparticles, and there is no mention of microalgae.",no,"The paper does not discuss metal removal measurements or biosorption capacity, and instead focuses on bacterial resistance to metal-based nanomaterials.",Exclude,"The systematic review paper focuses on bacterial resistance to metal nanoparticles in medical contexts, completely diverging from the screening criteria related to microalgae-based metal removal from industrial wastewater. No experimental methodology, microalgae species identification, or quantitative metal removal measurements are present, rendering the paper non-compliant with all specified screening requirements.",0.1
The Potential of α-Mangostin from Garcinia mangostana as an Effective Antimicrobial Agent—A Systematic Review and Meta-Analysis,"This systematic review aims to evaluate the antimicrobial activity of α-mangostin derived from Garcinia mangostana against different microbes. A literature search was performed using PubMed and Science Direct until March 2022. The research question was developed based on a PICO (Population, Intervention, Control and Outcomes) model. In this study, the population of interest was microbes, α-mangostin extracted from Garcinia mangostana was used as exposure while antibiotics were used as control, followed by the outcome which is determined by the antimicrobial activity of α-mangostin against studied microbes. Two reviewers independently performed the comprehensive literature search following the predetermined inclusion and exclusion criteria. A methodological quality assessment was carried out using a scoring protocol and the risk of bias in the studies was analyzed. Reward screening was performed among the selected articles to perform a meta-analysis based on the pre-determined criteria. Case groups where α-mangostin extracted from Garcinia mangostana was incorporated were compared to groups using different antibiotics or antiseptic agents (control) to evaluate their effectiveness. A total of 30 studies were included; they were heterogeneous in their study design and the risk of bias was moderate. The results showed a reduction in microbial counts after the incorporation of α-mangostin, which resulted in better disinfection and effectiveness against multiple microbes. Additionally, the meta-analysis result revealed no significant difference (p > 0.05) in their effectiveness when α-mangostin was compared to commercially available antibiotics. α-mangostin worked effectively against the tested microbes and was shown to have inhibitory effects on microbes with antibiotic resistance.","Omer Sheriff Sultan, Haresh Kumar Kantilal, S. Khoo, Amalraj Fabian Davamani, Sumaiya Zabin Eusufzai, F. Rashid, N. Jamayet, J. A. Soh, Y. Y. Tan, M. K. Alam",10.3390/antibiotics11060717,https://doi.org/10.3390/antibiotics11060717,Antibiotics,27,2022,no,The paper doesn't study metal solutions at all.,no,"While this is a systematic review that includes experimental studies, it's not a primary experimental study itself.",no,"While the paper includes analysis of experimental data, it's not focused on the required type of experiments (metal removal).",no,There is no mention of wastewater treatment or industrial applications in the paper.,no,No microalgae species are mentioned or studied in the paper.,no,"The paper focuses on α-mangostin from Garcinia mangostana (a fruit tree) for antimicrobial activity, and does not mention microalgae or biosorption processes.",no,"The primary focus is on α-mangostin from Garcinia mangostana, not microalgae.",no,"The paper does not measure metal removal at all, as it focuses on antimicrobial activity of α-mangostin instead.",Exclude,"The systematic review on α-mangostin's antimicrobial activity completely fails to meet any of the specified screening criteria related to microalgae-based metal removal. No aspects of the study align with the required focus on microalgae biosorption, industrial wastewater treatment, or quantitative metal removal measurements. The paper's content is fundamentally different from the intended research scope.",0.1
