Title,Abstract,Authors,DOI,DOI link,Venue,Citation count,Year,Industrial Application Focus,"Reasoning for ""Industrial Application Focus""",Industrial Water Context,"Reasoning for ""Industrial Water Context""",Metal Scope Relevance,"Reasoning for ""Metal Scope Relevance""",Microalgae Biosorbent,"Reasoning for ""Microalgae Biosorbent""",Microalgae Component Required,"Reasoning for ""Microalgae Component Required""",Quantitative Performance Data,"Reasoning for ""Quantitative Performance Data""",Study Type,"Reasoning for ""Study Type""",Target Metals,"Reasoning for ""Target Metals""",Screening judgement,"Reasoning for ""Screening judgement""",Screening score
Removal of heavy metals by polysaccharide: a review,"ABSTRACT Industries produce large amounts of heavy metal waste that are hazardous to the environment. Thus, heavy metal ions such as nickel (II), lead (II), copper (II), cadmium (II), and zinc (II), must be removed from wastewater. One commonly employed method is biosorption, which is the adsorption of metal ions by biomaterials such as polysaccharides. In this review, polysaccharides are classified into four groups: polysaccharide homopolymers, polysaccharide blends, copolymers, and polysaccharide composites. Pristine natural polysaccharides like chitin, chitosan, cellulose, starch, and alginate which have multiple functional groups. Additional functionalization is introduced in the form of blending, grafting, or mixing with various nanomaterials having additional functional group to make it more efficient for heavy metal ion adsorption. Introduction of second component onto the main polymer chain not only introduce functionality but enhance mechanical strength which is one of the vital requirements for the recyclability of adsorbent. Longer the time adsorbent is reused more economical is the removal process of metal ions from wastewater. Heavy metal ions undergo various types of interaction like π-π interactions, dipole–dipole interaction, hydrogen bonding or van der walls force with homopolymer, copolymers, blends, or nanocomposite having anions or electron-rich group. Adsorption process is studied by adsorption kinetics and adsorption isotherms. This review represents the adsorption behavior of chitosan, cellulose, starch, alginate, and their derivatives. Graphical abstract","Y. Na, Jungun Lee, S. Lee, Pawan Kumar, Jong Hak Kim, R. Patel",10.1080/25740881.2020.1768545,https://doi.org/10.1080/25740881.2020.1768545,-,60,2020,no,Cell not found,no,Cell not found,no,Cell not found,no,Cell not found,no,Cell not found,no,Cell not found,no,Cell not found,no,Cell not found,Unknown,Cell failed to load,0
Magnetotactic bacteria: promising biosorbents for heavy metals,"Magnetotactic bacteria (MTB), which can orient and migrate along a magnetic line of force due to intracellular nanosized magnetosomes, have been a subject of research in the medical field, in dating environmental changes, and in environmental remediation. This paper reviews the recent development of MTB as biosorbents for heavy metals. Ultrastructures and taxis of MTB are investigated. Adsorptions in systems of unitary and binary ions are highlighted, as well as adsorption conditions (temperature, pH value, biomass concentration, and pretreatments). The separation and desorption of MTB in magnetic separators are also discussed. A green method to produce metal nanoparticles is provided, and an energy-efficient way to recover precious metals is put forward during biosorption.","W. Zhou, Yanzong Zhang, Xiaohui Ding, Yan Liu, Fei Shen, Xiaohong Zhang, Shi-huai Deng, H. Xiao, Gang Yang, Hong Peng",10.1007/s00253-012-4245-3,https://doi.org/10.1007/s00253-012-4245-3,Applied Microbiology and Biotechnology,40,2012,no,Cell not found,no,Cell not found,no,Cell not found,no,Cell not found,no,Cell not found,no,Cell not found,no,Cell not found,no,Cell not found,Unknown,Cell failed to load,0
"Bacterial Biosorbents, an Efficient Heavy Metals Green Clean-Up Strategy: Prospects, Challenges, and Opportunities","Rapid industrialization has led to the pollution of soil and water by various types of contaminants. Heavy metals (HMs) are considered the most reactive toxic contaminants, even at low concentrations, which cause health problems through accumulation in the food chain and water. Remediation using conventional methods, including physical and chemical techniques, is a costly treatment process and generates toxic by-products, which may negatively affect the surrounding environment. Therefore, biosorption has attracted significant research interest in the recent decades. In contrast to existing methods, bacterial biomass offers a potential alternative for recovering toxic/persistent HMs from the environment through different mechanisms for metal ion uptake. This review provides an outlook of the advantages and disadvantages of the current bioremediation technologies and describes bacterial groups, especially extremophiles with biosorbent potential for heavy metal removal with relevant examples and perspectives.","V. H. T. Pham, Jaisoo Kim, Soonwoong Chang, Woojin Chung",10.3390/microorganisms10030610,https://doi.org/10.3390/microorganisms10030610,Microorganisms,89,2022,no,Cell not found,no,Cell not found,no,Cell not found,no,Cell not found,no,Cell not found,no,Cell not found,no,Cell not found,no,Cell not found,Unknown,Cell failed to load,0
Fundamentals of bio-based technologies for selective metal recovery from bio-leachates and liquid waste streams,"The number of metal-containing waste streams resulting from electronic end-of life products, metallurgical by-products, and mine tailings to name but a few, is increasing worldwide. In recent decades, the potential to exploit these waste streams as valuable secondary resources to meet the high demand of critical and economically important raw materials has become more prominent. In this review, fundamental principles of bio-based metal recovery technologies are discussed focusing on microbial metabolism-dependent and metabolism-independent mechanisms as sustainable alternatives to conventional chemical metal recovery methods. In contrast to previous reviews which have partially addressed this topic, a special focus will be given on how fundamental principles of bio-based recovery technologies can influence the selectivity and specificity of metal recovery. While conventional methods for metal recovery show benefits in terms of economic affordability, bio-based recovery technologies offer advantages in terms of efficiency and environmentally friendliness. Modifications and adaptations in the processes of biosorption, bioaccumulation and bioelectrochemical systems are highlighted, further emphasizing the application of metal-binding peptides and siderophores to increase selectivity in the recovery of metals. Single metal solutions or mixtures with a low complexity have been the focus of previous studies and reviews, but this does not reflect the nature of complex industrial effluents. Therefore, key challenges that arise when dealing with complex polymetallic solutions are addressed and the focus is set on optimizing bio-based technologies to recover metals efficiently and selectively from bio-leachates or liquid waste streams.","A. Sieber, S. Spiess, Wadih Y. Rassy, Dominik Schild, Thomas Rieß, Shalini Singh, Rohan Jain, Nora Schönberger, Franziska L. Lederer, K. Kremser, G. Guebitz",10.3389/fbioe.2024.1528992,https://doi.org/10.3389/fbioe.2024.1528992,Frontiers in Bioengineering and Biotechnology,3,2025,yes,"The paper has a strong industrial wastewater treatment context, focusing on complex polymetallic solutions from industrial sources.",yes,"The paper explicitly focuses on industrial wastewaters and complex polymetallic solutions from industrial sources, including electronic waste, metallurgical by-products, and mine tailings.",yes,"The paper covers many relevant target metals including copper, nickel, cobalt, and rare earth elements.",maybe,"The paper discusses various biosorbents including microorganisms, but does not specifically focus on microalgae. While microalgae are mentioned briefly in the context of biosorption, they are not a primary focus of the study.",no,"The paper does not specifically focus on microalgae as a biosorbent component. While microalgae are mentioned, they are not a required component of the study.",yes,"The paper includes various quantitative data on metal recovery efficiencies and removal rates, particularly in the sections discussing bioelectrochemical systems and biosorption.",yes,"This is a review paper that systematically examines various bio-based metal recovery technologies. While it's not an experimental study, systematic reviews are explicitly included in the criteria.",yes,"The paper covers a wide range of metals including critical metals like copper, nickel, cobalt, and rare earth elements.",Include,"The systematic review comprehensively explores bio-based metal recovery technologies across industrial waste streams, covering critical metals like copper, nickel, and rare earth elements with quantitative performance data. While the study provides extensive insights into metal recovery mechanisms and industrial applications, it lacks a specific focus on microalgae as a biosorbent component, which represents a key limitation against the screening criteria. The research demonstrates strong potential for sustainable metal recovery from complex polymetallic solutions, but falls short of the microalgae-specific requirement.",2.7
Critical thoughts on the application of microalgae in aquaculture industry,"Domestic wastewaters are produced in huge volumes and abundant with carbon, nitrogen and phosphorous, which are a promising source of nutrients for production of microalgae. Microalgae-based bioremediation of domestic wastewater offers various advantages over traditional treatment approaches because the process consumes CO2, completely removes nitrogen and phosphorous for production of green biomass and oxygen. Moreover, the abundance of biochemical compositions (e.g., lipids, proteins, carbohydrates, bioactive compounds) of microalgae biomass is superior to terrestrial plant biomass in refining to multi-products having variety of commercial values. In this review, the most dominant microalgae used for simultaneous removal of pollutants and production of biomass and metabolites from domestic wastewater are presented. Biorefinery of microalgae biomass produced from domestic wastewater for production of multiple products is also explored. Finally, challenges and perspectives of successful microalgae-based bioremediation of domestic wastewater toward the biorefinery are briefly discussed.","Qian Lu, Limin Yang, Xiangyuan Deng",10.1016/j.aquaculture.2020.735538,https://doi.org/10.1016/j.aquaculture.2020.735538,-,15,2020,no,Cell not found,no,Cell not found,no,Cell not found,no,Cell not found,no,Cell not found,no,Cell not found,no,Cell not found,no,Cell not found,Unknown,Cell failed to load,0
Unveiling the Promise of Biosorption for Heavy Metal Removal from Water Sources,"Heavy metals represent a significant contributor to water pollution, posing serious environmental and health risks due to human activities and industrialization. The release of heavy metal contaminants into water sources has spurred extensive research into wastewater treatment methods, including precipitation, evaporation, ion exchange, membrane processes, and electroplating. However, these conventional techniques often prove costly, limited in effectiveness, and may inadvertently exacerbate pollution concerns. This review underscores biosorption as a highly promising alternative for effectively removing harmful metal ions from water sources. Biosorption, as a physical technique, capitalizes on mechanisms such as ion exchange, surface complexation, and precipitation, leveraging more economical biological materials as biosorbents. Microorganisms, encompassing bacteria, fungi, algae, and plant products, emerge as pivotal agents in metal biosorption, offering a sustainable and cost-effective approach. There is a growing interest in harnessing local microbiota for biosorption, aiming to mitigate heavy metal contamination in wastewater without adverse environmental impacts. Notably, both living and deceased fungal biomass have garnered attention as cost-effective adsorbents for eliminating heavy metal ions from solutions. The biosorption behavior of fungal biomass presents numerous advantages, warranting further research to fully exploit its potential in wastewater treatment endeavors.",Arun Karnwal,10.1016/j.dwt.2024.100523,https://doi.org/10.1016/j.dwt.2024.100523,Desalination and Water Treatment,29,2024,no,,no,,no,,no,,no,,no,,no,,no,,Exclude,Cannot perform full text screening: full text not available.,0.1
Harnessing the potential of microalgae-based systems for mitigating pesticide pollution and its impact on their metabolism.,"Due to increased pesticide usage in agriculture, a significant concentration of pesticides is reported in the environment that can directly impact humans, aquatic flora, and fauna. Utilizing microalgae-based systems for pesticide removal is becoming more popular because of their environmentally friendly nature, ability to degrade pesticide molecules into simpler, nontoxic molecules, and cost-effectiveness of the technology. Thus, this review focused on the efficiency, mechanisms, and factors governing pesticide removal using microalgae-based systems and their effect on microalgal metabolism. A wide range of pesticides, like atrazine, cypermethrin, malathion, trichlorfon, thiacloprid, etc., can be effectively removed by different microalgal strains. Some species of Chlorella, Chlamydomonas, Scenedesmus, Nostoc, etc., are documented for >90% removal of different pesticides, mainly through the biodegradation mechanism. The antioxidant enzymes such as ascorbate peroxidase, superoxide dismutase, and catalase, as well as the complex structure of microalgae cell walls, are mainly involved in eliminating pesticides and are also crucial for the defense mechanism of microalgae against reactive oxygen species. However, higher pesticide concentrations may alter the biochemical composition and gene expression associated with microalgal growth and metabolism, which may vary depending on the type of strain, the pesticide type, and the concentration. The final section of this review discussed the challenges and prospects of how microalgae can become a successful tool to remediate pesticides.
Copyright © 2024 Elsevier Ltd. All rights reserved.","Tufail Fayaz, Soujanya S. Rana, Esha Goyal, S. K. Ratha, N. Renuka",10.1016/j.jenvman.2024.120723,https://doi.org/10.1016/j.jenvman.2024.120723,Journal of Environmental Management,8,2024,no,Cell not found,no,Cell not found,no,Cell not found,no,Cell not found,no,Cell not found,no,Cell not found,no,Cell not found,no,Cell not found,Unknown,Cell failed to load,0
ALGAE-BASED HEAVY METAL REMEDIATION IN ACID MINE DRAINAGE: A REVIEW,"The production of acid mine drainage (AMD) is among the factors responsible for much of the degradation of water and soil resources and the disruption of biodiversity in the environment. Several studies have shown that organisms (either macro or micro) present at sites contaminated with AMD have the potential to bioaccumulate heavy metals and hence stimulate their application in bioremediation processes. Algal strains are not an exception to those organisms found in AMD. This review was aimed at examining the heavy metal remediation of AMD using algae, remediation properties of algae and different algal-based methods used in heavy metal remediation of AMD. Algal strains such as Spirulina sp., Chlorella spp., Scenedesmus spp., Cladophora spp., Oscillatoria spp., Anabaena spp. and Phaeodactylum tricornutum act as “hyper-accumulators” and “hyper-adsorbents” with a high selectivity for different elements from AMD. However, algae-based methods of abating AMD are not the ultimate solution to the problem and there is room for more studies. The current study suggests further attention to phycoremediation individually and synergistically with sulphate-reducing bacteria.","K. Mang, Khayalethu Ntushelo",10.15666/aeer/1802_24992512,https://doi.org/10.15666/aeer/1802_24992512,-,4,2020,yes,"The paper is entirely focused on industrial wastewater treatment, specifically AMD from mining operations.",yes,"The paper specifically focuses on acid mine drainage (AMD), which is an industrial wastewater context. It discusses various industrial mining scenarios and their associated water treatment challenges.",yes,"The paper includes target metals (copper, nickel) among the metals studied, though it also covers other metals.",yes,"The paper extensively discusses microalgae as biosorbents for metal removal, including specific species like Spirulina, Chlorella, and Scenedesmus. It covers both living and dead biomass applications.",yes,"Microalgae are the primary focus of the review, with extensive discussion of various microalgal species and their applications.",yes,"The paper includes specific removal efficiency data, such as ""80-95% of Zn"" and ""over 99% of iron (Fe) and Pb"" removal rates. It also references various studies with quantitative performance metrics.",yes,"This is a systematic review/meta-analysis of experimental studies, which is explicitly stated in the paper's purpose and methodology.",yes,"The paper discusses several target metals including copper (Cu), nickel (Ni), and other heavy metals. While it also covers non-target metals like lead and zinc, the inclusion of target metals meets this criterion.",Include,"This systematic review comprehensively addresses microalgae-based biosorption of heavy metals in industrial acid mine drainage, covering multiple target metals like copper and nickel with quantitative performance data. The study provides an in-depth examination of microalgae's potential for industrial wastewater treatment, meeting all screening criteria through its experimental and meta-analytical approach to metal removal technologies.",4.9
Microalgae: the use of nanotechnology in biorremediation,"Over the past two decades, great attention has been paid to managing environmental pollution caused by hazardous materials, such as: metals (lead, cadmium), pesticide residues, leakage of rights, among others. Many methods have been developed for the removal of such substances as precipitation, evaporation, ion exchange. However, these methods have several disadvantages such as: high cost of implantation, need for a large quantity of chemical products and interference of the process due to the presence of oils. It is known that there is a need to awaken more and more human and collective consciousness for the development and application of new technologies in favor of the environment. This review highlights the alternative biological agent abundantly present in nature, that is, microalgae as a possible sink for the removal of these toxic substances from the environment. Microalgae biomass has also been used to remove heavy metals, and in wastewater treatment facilities, they can be used to reduce the amount of toxic chemicals needed to clean and purify water, reaffirming its bio-absorption capacity toxic.","J. Santini, E. Pena, Walter Paixão de Sousa Filho, S. Mortari, L. S. Fernandes, D. Souza, L. Bortoluzzi, W. D. Vieira, M. Sagrillo",10.37779/NT.V21I3.3534,https://doi.org/10.37779/NT.V21I3.3534,Disciplinarum Scientia - Ciências Naturais e Tecnológicas,0,2020,maybe,"The paper does have an industrial wastewater treatment context, but it's not specifically focused on industrial applications of microalgae for metal removal.",maybe,"The paper does discuss industrial wastewater treatment context, mentioning industrial activities and their waste generation. However, it's more of a general discussion rather than specific experimental work with industrial wastewaters.",no,"The paper focuses mainly on lead and cadmium, which are not among the target metals. While it mentions heavy metals generally, it doesn't specifically address the target metals of interest.",maybe,"The paper discusses microalgae as biosorbents, but primarily in a review context. While it mentions microalgae's potential for metal removal, it doesn't present original experimental research on this topic. The focus seems to be more on general bioremediation and nanotechnology applications.",maybe,"The paper does include microalgae as a component, but primarily in a theoretical/review context rather than as an experimental component.",no,"The paper doesn't present any original quantitative biosorption performance data. While it mentions some removal percentages for other processes (like tannin-based coagulation), it doesn't provide specific data for microalgae-based metal removal.",no,"This appears to be a review paper rather than an experimental investigation. While reviews can be included, this one seems to be a general overview rather than a systematic review or meta-analysis of quantitative data.",no,"The paper mentions heavy metals and toxic metals in general terms but doesn't specifically focus on copper or the other target metals listed in the criteria. It primarily discusses lead and cadmium, which are not target metals for this review.",Include,"The paper provides a broad overview of microalgae and bioremediation, but lacks specific experimental data on metal removal using microalgae as a biosorbent. While touching on industrial wastewater treatment and nanotechnology, the study does not focus on the target metals of interest or present quantitative performance metrics for microalgae-based metal removal. The review-style document offers theoretical insights but falls short of meeting the detailed screening criteria for a systematic review of microalgae metal biosorption.",2.7
Microbial-Based Heavy Metal Bioremediation: Toxicity and Eco-Friendly Approaches to Heavy Metal Decontamination,"There are several industrial processes in which heavy metals are used, including but not limited to chrome plating and tanning. Amongst the most toxic heavy metals to human health are arsenic, cadmium, chromium, lead, copper, nickel, and mercury. The aforementioned toxic metals possess the ability to cause contamination upon their release into the environment. Humans and aquatic and terrestrial animals are at risk from heavy metals in water and soil. Heavy metal toxicity has the potential to result in several health complications, such as renal and hepatic impairment, dermatological afflictions, cognitive lethargy, and potentially oncogenic manifestations. The removal of heavy metals from wastewater and soil can be accomplished using a variety of conventional methods, such as membrane filtration, reverse osmosis, chemical reduction, and adsorption. These methods have several disadvantages, such as generating an abundance of secondary pollutants, and entail significantly higher costs in comparison to biological methods. Conversely, eco-friendly techniques based on microbes have numerous advantages. This review provides a comprehensive overview of biological processes that remove heavy metal ions, both metabolically dependent and metabolically independent. Additionally, we also focused on the source and toxicity of these heavy metals. This study is expected to be particularly beneficial for the development of biological heavy metal treatment systems for soil and water.","Biao Zhou, T. Zhang, Fei Wang",10.3390/app13148439,https://doi.org/10.3390/app13148439,Applied Sciences,45,2023,maybe,The paper has some industrial context but is not exclusively focused on industrial wastewater treatment. It covers both industrial and natural contamination sources.,maybe,"The paper discusses industrial contexts and mentions industrial effluent, but it's not specifically focused on industrial wastewater treatment. It covers both industrial and natural sources of contamination.",maybe,"The paper does include target metals (copper, nickel) but focuses heavily on non-target metals like chromium, lead, and cadmium.",maybe,"The paper mentions microalgae as biosorbents, but only briefly and as part of a broader discussion of various biosorbents. It's not a primary focus of the study.",maybe,"While microalgae are mentioned, they are not a primary focus of the study. The paper discusses many other biosorbents and removal methods, with microalgae being just one of many options mentioned.",maybe,"While the paper includes some quantitative data in tables (e.g., Table 1 showing biosorption capacities), it appears to be a review paper rather than presenting original experimental data.",yes,"This is clearly a review paper, which is acceptable according to the criteria. However, it's a broad review covering many aspects of heavy metal contamination and removal, not specifically focused on microalgae biosorption.",maybe,"The paper covers several target metals including copper, nickel, and other heavy metals. However, it also focuses heavily on non-target metals like chromium, lead, and cadmium.",Include,"The review paper broadly discusses heavy metal contamination and removal techniques, touching on microalgae and target metals but lacking a focused experimental investigation of microalgae biosorption. While covering industrial and environmental contexts, the study does not exclusively concentrate on industrial wastewater treatment or provide comprehensive quantitative performance data specific to microalgae biosorbents. The broad scope and limited microalgae-specific analysis suggest limited direct relevance to a systematic review of microalgae-based heavy metal removal.",2.9
A critical review on phycoremediation of pollutants from wastewater—a novel algae-based secondary treatment with the opportunities of production of value-added products,"Though the biological treatment employing bacterial strains has wide application in effluent treatment plant, it has got several limitations. Researches hence while looking for alternative biological organisms that can be used for secondary treatment came up with the idea of using microalgae. Since then, a large number of microalgal/cyanobacterial strains have been identified that can efficiently remove pollutants from wastewater. Some researchers also found out that the algal biomass not only acts as a carbon sink by taking up carbon dioxide from the atmosphere and giving oxygen but also is a renewable source of several value-added products that can be extracted from it for the commercial use. In this work, the cleaning effect of different species of microalgae/cyanobacteria on wastewater from varied sources along with the value-added products obtained from the algal biomass as observed by researchers during the past few years are reviewed. While a number of review works in the field of phycoremediation technology was reported in literature, a comprehensive study on phycoremediation of wastewater from different industries and household individually is limited. In the present review work, the efficiency of diverse microalgal/cyanobacterial strains in treatment of wide range of industrial effluents along with municipal wastewater having multi-pollutants has been critically reviewed.
© 2023. The Author(s), under exclusive licence to Springer-Verlag GmbH Germany, part of Springer Nature.","Swagata Laxmi Sengupta, Rajib Ghosh Chaudhuri, S. Dutta",10.1007/s11356-023-30470-3,https://doi.org/10.1007/s11356-023-30470-3,Environmental science and pollution research international,3,2023,yes,"The paper has a strong industrial wastewater treatment context, discussing various industrial applications.",yes,"The paper explicitly covers industrial wastewaters, including food industry, dairy, textile, and coke-oven wastewaters.",maybe,"While some target metals are mentioned (like nickel), the paper's focus is much broader, covering organic pollutants, nutrients, and other contaminants.",maybe,"The paper discusses microalgae for wastewater treatment, but focuses more on general phycoremediation rather than specifically on biosorption for metal removal. While metals are mentioned, they're not the primary focus of the biosorption discussion.",yes,"Microalgae are the central focus of the paper, with extensive discussion of various microalgal species and their applications.",maybe,"While the paper includes some quantitative data (e.g., removal percentages for various pollutants), it's primarily a review paper and doesn't present new experimental data. The data presented is mostly from other studies.",no,"This is a review paper rather than an experimental investigation. While it reviews experimental studies, it's not primary research.",maybe,The paper mentions some target metals (like nickel) but doesn't focus specifically on copper or other critical metals. The discussion of metals is limited and not central to the paper's scope.,Include,"The review paper comprehensively explores microalgae's potential in industrial wastewater treatment, covering diverse industrial contexts and various microalgal species. While the study provides insights into phycoremediation across multiple industrial sectors, it lacks a specific focus on metal biosorption and does not present primary experimental research. The broad scope and review nature of the paper limit its alignment with targeted metal removal screening criteria.",2.9
Integration of Waste Valorization for Sustainable Production of Chemicals and Materials via Algal Cultivation,Managing waste is an increasing problem globally. Microalgae have the potential to help remove contaminants from a range of waste streams and convert them into useful biomass. This article presents a critical review of recent technological developments in the production of chemicals and other materials from microalgae grown using different types of waste. A range of novel approaches are examined for efficiently capturing CO,"Yong Chen, Li‐Ping Sun, Zhi-hui Liu, G. Martín, Zheng Sun",10.1007/s41061-017-0175-y,https://doi.org/10.1007/s41061-017-0175-y,Topics in current chemistry,15,2017,yes,"The paper clearly focuses on industrial wastewater treatment applications, discussing industrial sources of wastewater and their treatment using microalgae systems.",yes,"The paper focuses on industrial wastewaters and synthetic solutions mimicking industrial conditions, rather than exclusively municipal/domestic wastewater or natural water bodies. It discusses industrial, municipal, and agricultural sources of wastewater and specifically mentions industrial wastewater containing heavy metals and chemical oxygen demand.",yes,"The paper includes multiple target metals, including copper, nickel, and various heavy metals, rather than focusing solely on out-of-scope metals.",yes,"The paper investigates microalgae, both living and dead, as biosorbents for removing metals from aqueous solutions. The abstract and body discuss how microalgae can effectively clean water by removing nutrients and adsorbing heavy metals through complex reactions or ion exchange.",yes,"The entire paper focuses on microalgae as the biosorbent component, and does not use bacteria, fungi, plants, or agricultural waste without microalgae.",yes,"The paper provides extensive quantitative data on biosorption performance, including removal percentages for nitrogen and phosphorus (many over 90%) and specific removal efficiencies for various metals (e.g., 96% and 93% for Zn2+ and Cd2+ removal, greater than 90% for Cd, Co, and Mn absorption).",maybe,"While this paper is a review rather than a primary experimental study, it systematically reviews and presents data from numerous experimental investigations, which could be considered within the scope of a systematic review.",yes,"The paper targets relevant metals, specifically mentioning copper (Cu), nickel (Ni), and other heavy metals. Tables 3 and 7 provide data on the removal of these target metals by different microalgae species.",Include,"A comprehensive review exploring microalgae's potential for metal removal from industrial wastewaters, covering target metals like copper and nickel with quantitative performance data across multiple experimental studies. The systematic review demonstrates microalgae's biosorbent capabilities across industrial wastewater contexts, providing detailed insights into metal adsorption mechanisms and removal efficiencies. While meeting most screening criteria, the paper's review nature and broad scope slightly complicate strict categorical classification.",2.9
Applications of the Biosorption Process for Nickel Removal from Aqueous Solutions – A Review,"Wastewaters and contaminants released to the aqueous environment increase due to developing industrialization and technology. These wastewaters should be treated before being discharged to water bodies. Also, reusable materials in wastewaters must be recovered by appropriate techniques. Discharge limits required by the authorities become more stringent with updated legislations. Nickel ions can be reusable by recovering it after the biosorption process. So, this will prevent the loss of raw materials in industries and it also affects the economy in a positive way. Conventional heavy metal removal processes may be costly and inadequate to meet the desired discharge limits and they exhibit low efficiencies. Eco-friendly and economical treatment technologies gain great importance in the removal and recovery of nickel from wastewaters. In this study, biosorption which is the subject of numerous studies and one of the heavy metal removal methods will be investigated, and nickel removal by this technique and the biosorption mechanism will also be elaborated with data from literature studies.",L. Gürel,10.1080/00986445.2017.1306698,https://doi.org/10.1080/00986445.2017.1306698,-,19,2017,no,,no,,no,,no,,no,,no,,no,,no,,Exclude,Cannot perform full text screening: full text not available.,0.1
Current nature-based biological practices for rare earth elements extraction and recovery: Bioleaching and biosorption,"There is a growing demand for advancing products and renewable technologies worldwide that rely on rare earth elements (REEs), including those directly necessary for a low-carbon energy transition, national security applications, and consumer electronics. This study focuses on current nature-based biological methods (i.e., bioleaching and biosorption) for REEs extraction from electronic wastes (e-wastes) and ore deposits. Comprehensive narrative and systematic reviews of bioleaching and biosorption extraction methods are performed to identify their sustainability challenges and benefits, and highlight the potential pathways that would address the existing gaps. From the narrative review, it is evident that biological methods for REEs extraction are more environmentally friendly than conventional methods currently used in the REE mining industry (e.g., acid leaching and solvent extraction). From the systematic review, it is clear that bioleaching and biosorption research has been a rapidly growing field of interest over the last 10 years, particularly for precious metals extraction (e.g., copper and gold). From both reviews, it is apparent that REEs extraction from domestic ore deposits alone is inadequate, and sustainable REEs recovery from e-wastes is also necessary to meet the growing REEs demand. It is concluded that targeted mixed REEs extraction for specific products can be a potential pathway for sustainable REEs extraction from both ore and e-wastes that would reduce separation costs and emissions from the associated use of harsh chemicals. It is further concluded that nature-based biological REE extraction solutions offer an opportunity to generate significant socio-economic and environmental benefits.","Rebecca M. Brown, Amin Mirkouei, D. Reed, Vicki S. Thompson",10.1016/j.rser.2022.113099,https://doi.org/10.1016/j.rser.2022.113099,Renewable & Sustainable Energy Reviews,51,2023,no,,no,,no,,no,,no,,no,,no,,no,,Exclude,Cannot perform full text screening: full text not available.,0.1
"Cyanobacteria mediated heavy metal removal: a review on mechanism, biosynthesis, and removal capability","ABSTRACT Heavy metal in wastewater is a crucial concern due to its toxicological manifestations on human health, particularly in developing countries. Compared to different conventional heavy metal removal methods, cyanobacteria mediated heavy metal removal is a potential method, as it is a cost-effective, in situ operable, and green chemistry approach. They are excellent tools for multidirectional metal sequestration operations as they can simultaneously sequester metal through biosorption and bioaccumulation. Biosorption is a cell surface phenomenon, whereas bioaccumulation occurs inside the cell. This study reviewed deeply how cyanobacteria sequester heavy metal ions by these two processes from an ambient water body and the defense mechanism of cyanobacteria against metal-induced toxicity. Further, among the different components of the cyanobacteria's cell wall, this blue–green algae biosorb the metal ion mainly through Exopolysaccharide (EPS). The article discusses several pathways of EPS biosynthesis to know the potential engineering approach for producing this incredible polymer, which facilitates its metal ion adsorption property. Furthermore, we compare different cyanobacterial species’ ability to sequester heavy metals from water in different environmental conditions. Limnococcussp, Nostocmuscorum, and Synechococcus sp. PCC 7942 shows optimum efficiency based on heavy metal removal, multi-metal removal by biosorption and bioaccumulation, and contact time. Finally we for the first time, discussed the circadian clock application in the cyanobacterial metal ion sequestration process, which might disclose the molecular-level mechanisms of cyanobacteria to sequester metal ions and different defense mechanisms. GRAPHICAL ABSTRACT","A. Al-Amin, F. Parvin, J. Chakraborty, Yong-Ick Kim",10.1080/21622515.2020.1869323,https://doi.org/10.1080/21622515.2020.1869323,Environmental Technology Reviews,52,2021,no,,no,,no,,no,,no,,no,,no,,no,,Exclude,Cannot perform full text screening: full text not available.,0.1
"Green Materials for Energy, Products and Depollution","Using renewable fuels and materials, drinking clean water and food, and breathing safe air are major issues for a sustainable world. This book reviews biodiesel production from microalgae, a promising","E. Lichtfouse, J. Schwarzbauer, D. Robert",10.1007/978-94-007-6836-9,https://doi.org/10.1007/978-94-007-6836-9,-,63,2013,no,Cell not found,no,Cell not found,no,Cell not found,no,Cell not found,no,Cell not found,no,Cell not found,no,Cell not found,no,Cell not found,Unknown,Cell failed to load,0
Biogeochemical cycling of metals impacting by microbial mobilization and immobilization.,"Microbial mobilization and immobilization processes can affect the bioavailability and mobility of metals thereby influencing their toxicity and can therefore be utilized to treat solid and liquid wastes contaminated by metals. However, the microbial mobilization and immobilization of metals depends on the microbial metabolism, the environment conditions. In this review, mobilization and immobilization of metals are discussed with regard to the presence and function of involved microorganisms and in relation to applications such as bioleaching. Furthermore, the biosorption process is evaluated as a possible approach for microbial immobilization of metal on the basis of four mechanisms: (1) physical adsorption, (2) ion exchange, (3) complexation, and (4) microprecipitation. In addition, sulfide precipitation by sulfate reducing bacteria was included as an example of an application of microbial immobilization. Based on the evaluation and recommendations in this paper, bioremediation strategies for metals can be improved thus increasing the opportunity for field applications.
Copyright © 2017. Published by Elsevier B.V.","Ran Jing, B. Kjellerup",10.1016/j.jes.2017.04.035,https://doi.org/10.1016/j.jes.2017.04.035,Journal of Environmental Science,57,2017,no,Cell not found,no,Cell not found,no,Cell not found,no,Cell not found,no,Cell not found,no,Cell not found,no,Cell not found,no,Cell not found,Unknown,Cell failed to load,0
